passenger_count|year|distance|count
1|2008|1.0|5142
1|2008|2.0|3912
2|2008|1.0|2844
1|2008|3.0|2328
2|2008|2.0|2249
1|2008|4.0|1569
2|2008|3.0|1433
1|2008|5.0|1039
1|2008|0.0|1039
2|2008|4.0|974
3|2008|1.0|863
4|2008|1.0|722
3|2008|2.0|696
1|2008|6.0|669
2|2008|5.0|636
4|2008|2.0|553
3|2008|3.0|441
2|2008|6.0|411
2|2008|0.0|379
1|2008|7.0|369
4|2008|3.0|363
3|2008|4.0|315
1|2008|8.0|285
2|2008|7.0|234
3|2008|5.0|227
4|2008|4.0|214
1|2008|9.0|185
4|2008|5.0|175
2|2008|8.0|153
3|2008|6.0|143
2|2008|9.0|142
1|2008|10.0|131
3|2008|0.0|119
1|2008|11.0|117
4|2008|6.0|104
3|2008|7.0|92
2|2008|10.0|88
4|2008|0.0|87
1|2008|12.0|77
2|2008|11.0|68
3|2008|8.0|61
1|2008|13.0|55
4|2008|7.0|50
2|2008|12.0|49
3|2008|10.0|37
4|2008|8.0|36
2|2008|13.0|33
1|2008|14.0|33
3|2008|9.0|33
4|2008|9.0|31
2|2008|14.0|24
3|2008|11.0|21
1|2008|15.0|18
1|2008|17.0|16
4|2008|11.0|15
1|2008|19.0|15
4|2008|10.0|15
3|2008|12.0|14
1|2008|16.0|14
2|2008|16.0|13
2|2008|15.0|12
5|2008|1.0|11
2|2008|18.0|10
1|2008|20.0|9
1|2008|18.0|7
4|2008|17.0|6
4|2008|12.0|6
1|2008|22.0|6
3|2008|13.0|5
1|2008|23.0|5
2|2008|19.0|5
5|2008|2.0|5
0|2008|1.0|5
3|2008|15.0|5
5|2008|0.0|5
4|2008|14.0|5
4|2008|16.0|5
2|2008|17.0|5
2|2008|21.0|5
4|2008|13.0|5
5|2008|3.0|4
1|2008|21.0|4
5|2008|5.0|4
2|2008|20.0|4
3|2008|14.0|4
0|2008|2.0|4
3|2008|20.0|4
0|2008|3.0|3
3|2008|17.0|3
3|2008|19.0|2
5|2008|6.0|2
1|2008|29.0|2
4|2008|15.0|2
1|2008|26.0|2
3|2008|18.0|2
1|2008|24.0|2
1|2008|28.0|2
4|2008|18.0|1
5|2008|18.0|1
3|2008|26.0|1
1|2008|47.0|1
2|2008|26.0|1
0|2008|6.0|1
2|2008|25.0|1
3|2008|24.0|1
1|2008|31.0|1
5|2008|7.0|1
3|2008|16.0|1
5|2008|11.0|1
4|2008|23.0|1
5|2008|8.0|1
2|2008|22.0|1
2|2008|24.0|1
2|2008|27.0|1
2|2008|23.0|1
4|2008|22.0|1
4|2008|24.0|1
1|2008|34.0|1
3|2008|23.0|1
1|2008|25.0|1
0|2008|0.0|1
1|2008|36.0|1
0|2008|5.0|1
1|2008|27.0|1
5|2008|13.0|1
3|2008|21.0|1
1|2009|1.0|44454703
1|2009|2.0|28283327
1|2009|3.0|13883045
2|2009|1.0|10071679
1|2009|4.0|7201834
2|2009|2.0|6728240
1|2009|0.0|6097536
5|2009|1.0|5599360
1|2009|5.0|4166140
5|2009|2.0|3626610
2|2009|3.0|3481875
3|2009|1.0|2916949
1|2009|6.0|2629150
3|2009|2.0|1947674
2|2009|4.0|1857276
5|2009|3.0|1819492
1|2009|7.0|1707688
4|2009|1.0|1385186
1|2009|8.0|1293242
1|2009|9.0|1266106
1|2009|10.0|1146067
2|2009|0.0|1101965
2|2009|5.0|1086714
3|2009|3.0|1007350
5|2009|4.0|955754
4|2009|2.0|954250
1|2009|11.0|893650
5|2009|0.0|699513
2|2009|6.0|672380
1|2009|12.0|578132
5|2009|5.0|556888
3|2009|4.0|529735
4|2009|3.0|506916
2|2009|7.0|419393
1|2009|18.0|395452
1|2009|17.0|375056
5|2009|6.0|352325
1|2009|13.0|345143
2|2009|9.0|321136
2|2009|8.0|314705
3|2009|5.0|313843
2|2009|10.0|301619
3|2009|0.0|300174
6|2009|1.0|279108
4|2009|4.0|264785
1|2009|19.0|256086
2|2009|11.0|252815
1|2009|14.0|229783
1|2009|16.0|225457
5|2009|7.0|225241
3|2009|6.0|196926
1|2009|15.0|192503
6|2009|2.0|179308
5|2009|8.0|169154
1|2009|20.0|165470
5|2009|9.0|165258
2|2009|12.0|159436
4|2009|5.0|157314
5|2009|10.0|151813
2|2009|18.0|148593
4|2009|0.0|142684
2|2009|17.0|134227
5|2009|11.0|124501
3|2009|7.0|119592
1|2009|21.0|117319
4|2009|6.0|100474
2|2009|13.0|90018
6|2009|3.0|89024
3|2009|8.0|84002
2|2009|19.0|82005
5|2009|12.0|81585
3|2009|9.0|80292
3|2009|10.0|73502
2|2009|16.0|67324
5|2009|18.0|64464
3|2009|11.0|63358
2|2009|14.0|61053
4|2009|7.0|59736
1|2009|22.0|58984
5|2009|17.0|56563
2|2009|15.0|51618
2|2009|20.0|51412
5|2009|13.0|47502
6|2009|4.0|45636
3|2009|12.0|41503
5|2009|19.0|39226
4|2009|8.0|39022
6|2009|0.0|37524
2|2009|21.0|37399
4|2009|9.0|37198
3|2009|18.0|36140
4|2009|10.0|34148
5|2009|14.0|31706
5|2009|16.0|31215
3|2009|17.0|31104
4|2009|11.0|30908
1|2009|23.0|27392
6|2009|5.0|26639
5|2009|15.0|26638
5|2009|20.0|25341
3|2009|13.0|23401
4|2009|12.0|20427
4|2009|18.0|20198
2|2009|22.0|19692
3|2009|19.0|19323
5|2009|21.0|17805
4|2009|17.0|17041
6|2009|6.0|16788
1|2009|24.0|16719
3|2009|14.0|15862
3|2009|16.0|15772
3|2009|15.0|13106
3|2009|20.0|11797
4|2009|13.0|11073
6|2009|7.0|10858
1|2009|25.0|10830
4|2009|19.0|9760
5|2009|22.0|9354
3|2009|21.0|8816
1|2009|26.0|8619
2|2009|23.0|8380
6|2009|8.0|8202
6|2009|9.0|8180
4|2009|16.0|8105
6|2009|10.0|7644
4|2009|14.0|7592
1|2009|27.0|7086
4|2009|15.0|6354
6|2009|11.0|6257
1|2009|28.0|5933
4|2009|20.0|5876
3|2009|22.0|5036
2|2009|24.0|4764
4|2009|21.0|4476
1|2009|29.0|4351
5|2009|23.0|4193
6|2009|12.0|3789
1|2009|30.0|3060
2|2009|25.0|3021
4|2009|22.0|2626
6|2009|18.0|2489
6|2009|17.0|2436
5|2009|24.0|2389
2|2009|26.0|2369
1|2009|31.0|2346
6|2009|13.0|2225
3|2009|23.0|2213
1|2009|32.0|2050
2|2009|27.0|1833
1|2009|33.0|1763
2|2009|28.0|1625
6|2009|19.0|1604
1|2009|34.0|1600
5|2009|25.0|1490
1|2009|35.0|1476
6|2009|14.0|1444
6|2009|16.0|1438
1|2009|36.0|1390
3|2009|24.0|1281
1|2009|37.0|1247
6|2009|15.0|1169
4|2009|23.0|1148
5|2009|26.0|1128
2|2009|29.0|1093
6|2009|20.0|1073
5|2009|27.0|987
1|2009|38.0|952
1|2009|39.0|842
3|2009|25.0|756
6|2009|21.0|750
1|2009|40.0|735
2|2009|30.0|731
5|2009|28.0|687
4|2009|24.0|648
208|2009|0.0|644
